inn,brand_name,brand_key,sponsor,authority,route_final,form_canon,sponsor_class,strength_raw,total_mg,total_volume_ml,conc_mg_per_ml,presentation_type,presentation_idx,most_recent_nct_id,most_recent_phase
atezolizumab,TECENTRIQ,TECENTRIQ,"Genentech, Inc.",FDA,IV,solution,originator,840 mg/14 mL (60 mg/mL) and 1200 mg/20 mL (60 mg/mL),840.0,14.0,60.0,liquid,0,NCT04796012,Phase 1|Phase 2
atezolizumab,TECENTRIQ,TECENTRIQ,"Genentech, Inc.",FDA,IV,solution,originator,840 mg/14 mL (60 mg/mL) and 1200 mg/20 mL (60 mg/mL),1200.0,20.0,60.0,liquid,1,NCT04796012,Phase 1|Phase 2
atezolizumab,TECENTRIQ HYBREZA,TECENTRIQ HYBREZA,"Genentech, Inc.",FDA,SC,solution,biosimilar,"1,875 mg atezolizumab and 30,000 units hyaluronidase per 15 mL (125 mg and 2,000 units per mL)",1875.0,15.0,125.0,liquid,0,UNKNOWN,Approved
atoltivimab,INMAZEB,INMAZEB,"Regeneron Pharmaceuticals, Inc.",FDA,IV,solution,originator,16.67 mg/16.67 mg/16.67 mg per mL; 33.33 mg/33.33 mg/33.33 mg per mL,,,16.67,liquid,0,UNKNOWN,Approved
atoltivimab,INMAZEB,INMAZEB,"Regeneron Pharmaceuticals, Inc.",FDA,IV,solution,originator,16.67 mg/16.67 mg/16.67 mg per mL; 33.33 mg/33.33 mg/33.33 mg per mL,,,33.33,liquid,1,UNKNOWN,Approved
avelumab,BAVENCIO,BAVENCIO,"EMD Serono, Inc.",FDA,IV,solution,originator,200 mg/10 mL (20 mg/mL),200.0,10.0,20.0,liquid,0,NCT04071236,Phase 1|Phase 2
axatilimab,NIKTIMVO,NIKTIMVO,Incyte Corporation,FDA,IV,solution,originator,50 mg/mL,,,50.0,liquid,0,NCT06132256,Phase 2
basiliximab,Simulect,SIMULECT,Novartis Pharmaceuticals Corporation,FDA,IV,lyophilized_powder,originator,10 mg in 2.5 mL; 20 mg in 5 mL,10.0,2.5,4.0,liquid,0,NCT01780844,Phase 2
basiliximab,Simulect,SIMULECT,Novartis Pharmaceuticals Corporation,FDA,IV,lyophilized_powder,originator,10 mg in 2.5 mL; 20 mg in 5 mL,20.0,5.0,4.0,liquid,1,NCT01780844,Phase 2
benralizumab,FASENRA,FASENRA,AstraZeneca Pharmaceuticals LP,FDA,SC,prefilled_syringe,originator,30 mg/mL,,,30.0,liquid,0,NCT06512883,Phase 3
bevacizumab,MVASI,MVASI,"Amgen, Inc.",FDA,IV,solution,biosimilar,100 mg/4 mL (25 mg/mL) or 400 mg/16 mL (25 mg/mL),100.0,4.0,25.0,liquid,0,NCT06252649,Phase 3
bevacizumab,MVASI,MVASI,"Amgen, Inc.",FDA,IV,solution,biosimilar,100 mg/4 mL (25 mg/mL) or 400 mg/16 mL (25 mg/mL),400.0,16.0,25.0,liquid,1,NCT06252649,Phase 3
bevacizumab,ALYMSYS,ALYMSYS,"Valorum Biologics, LLC",FDA,IV,solution,biosimilar,25 mg/mL,,,25.0,liquid,0,NCT05001880,Phase 2
bevacizumab,VEGZELMA,VEGZELMA,"CELLTRION USA, Inc.",FDA,IV,solution,biosimilar,100 mg/4 mL (25 mg/mL) or 400 mg/16 mL (25 mg/mL),100.0,4.0,25.0,liquid,0,UNKNOWN,Approved
bevacizumab,VEGZELMA,VEGZELMA,"CELLTRION USA, Inc.",FDA,IV,solution,biosimilar,100 mg/4 mL (25 mg/mL) or 400 mg/16 mL (25 mg/mL),400.0,16.0,25.0,liquid,1,UNKNOWN,Approved
bevacizumab,ALYMSYS,ALYMSYS,Amneal Pharmaceuticals LLC,FDA,IV,solution,biosimilar,25 mg/mL,,,25.0,liquid,0,NCT05001880,Phase 2
bevacizumab,JOBEVNE,JOBEVNE,Biocon Biologics Inc.,FDA,IV,solution,biosimilar,25 mg/mL,,,25.0,liquid,0,UNKNOWN,Approved
bevacizumab,AVASTIN,AVASTIN,"Genentech, Inc.",FDA,IV,solution,originator,100 mg/4 mL (25 mg/mL) or 400 mg/16 mL (25 mg/mL),100.0,4.0,25.0,liquid,0,NCT01746238,Phase 1
bevacizumab,AVASTIN,AVASTIN,"Genentech, Inc.",FDA,IV,solution,originator,100 mg/4 mL (25 mg/mL) or 400 mg/16 mL (25 mg/mL),400.0,16.0,25.0,liquid,1,NCT01746238,Phase 1
bevacizumab,Avzivi,AVZIVI,"Bio-Thera Solutions, Ltd.",FDA,IV,solution,biosimilar,100 mg/4 mL (25 mg/mL) or 400 mg/16 mL (25 mg/mL),100.0,4.0,25.0,liquid,0,UNKNOWN,Approved
bevacizumab,Avzivi,AVZIVI,"Bio-Thera Solutions, Ltd.",FDA,IV,solution,biosimilar,100 mg/4 mL (25 mg/mL) or 400 mg/16 mL (25 mg/mL),400.0,16.0,25.0,liquid,1,UNKNOWN,Approved
bevacizumab,ZIRABEV,ZIRABEV,Pfizer Laboratories Div Pfizer Inc,FDA,IV,solution,biosimilar,100 mg/4 mL (25 mg/mL) or 400 mg/16 mL (25 mg/mL),100.0,4.0,25.0,liquid,0,NCT06704724,Phase 1
bevacizumab,ZIRABEV,ZIRABEV,Pfizer Laboratories Div Pfizer Inc,FDA,IV,solution,biosimilar,100 mg/4 mL (25 mg/mL) or 400 mg/16 mL (25 mg/mL),400.0,16.0,25.0,liquid,1,NCT06704724,Phase 1
bezlotoxumab,ZINPLAVA,ZINPLAVA,Merck Sharp & Dohme LLC,FDA,IV,solution,originator,"1,000 mg/40 mL (25 mg/mL)",1000.0,40.0,25.0,liquid,0,NCT03829475,Phase 2
bimekizumab,BIMZELX,BIMZELX,"UCB, Inc.",FDA,SC,prefilled_syringe,originator,160 mg/mL,,,160.0,liquid,0,NCT06888193,Phase 1
brodalumab,SILIQ,SILIQ,"Bausch Health US, LLC",FDA,SC,prefilled_syringe,biosimilar,210 mg/1.5 mL,210.0,1.5,140.0,liquid,0,NCT06673329,Phase 1
burosumab,CRYSVITA,CRYSVITA,"Kyowa Kirin, Inc.",FDA,SC,solution,originator,"10 mg/mL, 20 mg/mL, or 30 mg/mL",,,10.0,liquid,0,NCT03775187,Approved
burosumab,CRYSVITA,CRYSVITA,"Kyowa Kirin, Inc.",FDA,SC,solution,originator,"10 mg/mL, 20 mg/mL, or 30 mg/mL",,,20.0,liquid,1,NCT03775187,Approved
