inn,ch1_isotype,lc_type,highest_clin_trial,est_status,target_antigen,origin,has_fda_approved,has_ema_approved,has_iv_sc_product,n_biosimilars
ficlatuzumab,G1,Kappa,Phase-III,Active,HGF/SF,Humanised,False,False,False,0
figitumumab,G2,Kappa,Phase-I,Discontinued,IGF1R/CD221,Genetically human,False,False,False,0
finotonlimab,G4,Kappa,Approved,Active,PDCD1/CD279/PD1,Chimeric and/or humanised,False,False,False,0
firastotug,G1,Kappa,Phase-I/II,Active,CTLA4/CD152,Humanised,False,False,False,0
firivumab,G1,Kappa,Preclinical,Discontinued,Influenza A HA,Genetically human,False,False,False,0
firsekibart,G4,Lambda,TBC,TBC,IL1B,Genetically human,False,False,False,0
fiztasovimab,G1,Lambda,Phase-II,Active,Human Herpesvirus Glycoprotein B AD-1,Genetically human,False,False,False,0
flanvotumab,G1,Kappa,Phase-I,Discontinued,TYRP1,Genetically human,False,False,False,0
fletikumab,G4,Kappa,Phase-II,Discontinued,IL20,Genetically human,False,False,False,0
fontolizumab,G1,Kappa,Phase-II,Discontinued,IFNG,Humanised,False,False,False,0
foralumab,G1,Kappa,Phase-II,Active,CD3E,Genetically human,False,False,False,0
foravirumab,G1,Kappa,Phase-II,Discontinued,Rabies Virus Antigenic Site III,Genetically human,False,False,False,0
fremanezumab,G2,Kappa,Approved,Active,CALCA and CALCB,Humanised,True,True,False,0
freneslerbart,G4,Kappa,Phase-III,Active,Fel d 1,Genetically human,False,False,False,0
fresolimumab,G4,Kappa,Phase-I,Discontinued,TGFB,Genetically human,False,False,False,0
frexalimab,G1,Kappa,Phase-III,Active,CD40LG/CD154,Chimeric and/or humanised,False,False,False,0
frovocimab,G4,Kappa,Phase-II,Active,PCSK9,Humanised,False,False,False,0
fulranumab,G2,Kappa,Phase-III,Discontinued,NGFB,Genetically human,False,False,False,0
futermestotug,G1,Kappa,TBC,TBC,CTLA4/CD152,Humanised,False,False,False,0
futuximab,G1,Kappa,Phase-III,Active,EGFR/ERBB1/HER1,Chimeric,False,False,False,0
galcanezumab,G4,Kappa,Approved,NFD,CALCA and CALCB,Humanised,True,True,False,0
galegenimab,G1,Kappa,Phase-II,Discontinued,HTRA1,Humanised,False,False,False,0
galiximab,G1,Lambda,Phase-II,Discontinued,B7/CD80/CD28LG,Chimeric,False,False,False,0
ganitumab,G1,Kappa,Phase-III,Discontinued,IGF1R/CD221,Genetically human,False,False,False,0
gantenerumab,G1,Kappa,Phase-III,Discontinued,APP,Genetically human,False,False,False,0
garadacimab,G4,Lambda,Approved,NFD,F12,Genetically human,True,True,False,0
garetosmab,G4,Kappa,Phase-III,Active,INHBA,Genetically human,False,False,False,0
garivulimab,G1,Kappa,Phase-I/II,Active,PDL1/CD274,Humanised,False,False,False,0
gatipotuzumab,G1,Kappa,Phase-II,Active,MUC1/PEM/EMA,Humanised,False,False,False,0
gatralimab,G1,Kappa,Phase-I,Discontinued,CD52,Humanised,False,False,False,0
gedivumab,G1,Kappa,Phase-II,Discontinued,Influenza A HA,Genetically human,False,False,False,0
geptanolimab,G4,Kappa,Preregistration,Active,PDCD1/CD279/PD1,Chimeric and/or humanised,False,False,False,0
gevokizumab,G2,Kappa,Phase-III,Active,IL1B,Humanised,False,False,False,0
giloralimab,G1,Kappa,Phase-I/II,Active,TNFRSF5/CD40,Chimeric and/or humanised,False,False,False,0
gimistotug,G1,Kappa,Phase-II,Active,TNFRSF4/CD134/OX40,Humanised,False,False,False,0
gimsilumab,G1,Kappa,Phase-I,Discontinued,CSF2,Genetically human,False,False,False,0
ginisortamab,G4,Kappa,Phase-I/II,Active,GREM1,Genetically human,False,False,False,0
golimumab,G1,Kappa,Approved,Active,TNF/TNFA,Genetically human,True,True,False,3
golocdacimab,G1,Lambda,Phase-II,Discontinued,OLR1/LOX1,Genetically human,False,False,False,0
gorivitug,G1,Kappa,Phase-I,Active,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
gosuranemab,G4,Kappa,Phase-II,Discontinued,MAPT,Chimeric and/or humanised,False,False,False,0
gotistobart,G1,Kappa,Phase-III,Active,CTLA4/CD152,Genetically human,False,False,False,0
greziprubart,G1,Kappa,Phase-I/II,Active,C5,Genetically human,False,False,False,0
grisnilimab,G2a,Lambda,Phase-I/II,Active,CD7,Murine,False,False,False,0
gruticibart,G4,Kappa,Phase-II,Active,F11,Chimeric and/or humanised,False,False,False,0
gumokimab,G1,Kappa,Phase-III,Active,IL17A,Chimeric and/or humanised,False,False,False,0
guselkumab,G1,Lambda,Approved,Active,IL23A,Genetically human,True,True,True,0
ianalumab,G1,Kappa,Phase-III,Active,TNFRSF13C/CD268/BAFFR/BR3,Genetically human,False,False,False,0
ibalizumab,G4,Kappa,Approved,NFD,CD4,Humanised,True,True,False,0
ibramvibart,G1,Lambda,TBC,TBC,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
ibentatug,G1,Kappa,Phase-I/II,Active,CSP1,Chimeric and/or humanised,False,False,False,0
ibritumomab,G1,Kappa,Approved,NFD,MS4A1/CD20,Murine,False,False,False,0
icrucumab,G1,Kappa,Phase-II,Discontinued,FLT1,Genetically human,False,False,False,0
idactamab,G1,Kappa,Phase-I,Discontinued,SLC1A5,Genetically human,False,False,False,0
ieramilimab,G4,Kappa,Phase-II,Active,LAG3/CD223,Humanised,False,False,False,0
ifabotuzumab,G1,Kappa,Phase-II,Active,EPHA3,Humanised,False,False,False,0
ifinatamab,G1,Kappa,Phase-III,Active,B7H3/CD276,Humanised,False,False,False,0
iluzanebart,G1,Kappa,Phase-II,Active,TREM2,Genetically human,False,False,False,0
imalumab,G1,Kappa,Phase-II,Discontinued,MIF,Genetically human,False,False,False,0
imaprelimab,G1,Kappa,Phase-I,Discontinued,MCAM/CD146/MUC18,Humanised,False,False,False,0
imeroprubart,G1,Lambda,TBC,Active,FCGRT/FcRn,Genetically human,False,False,False,0
imgatuzumab,G1,Kappa,Phase-II,Discontinued,EGFR/ERBB1/HER1,Humanised,False,False,False,0
imneskibart,G1,Kappa,Phase-I/II,Active,IL2RA/CD25,Humanised,False,False,False,0
imsidolimab,G4,Kappa,Phase-III,Active,IL36R,Chimeric and/or humanised,False,False,False,0
imzokitug,G1,Kappa,Phase-II,Active,CCR8/CKR-L1/CDw198,Humanised,False,False,False,0
inclacumab,G4,Kappa,Phase-II,Discontinued,SELP/CD62,Genetically human,False,False,False,0
indematug,G1,Lambda,TBC,Active,IFNG,Genetically human,False,False,False,0
indenebart,G1,Lambda,Phase-II,Active,SNCA/PARK1/PARK4,Genetically human,False,False,False,0
inebilizumab,G1,Kappa,Approved,Active,CD19,Humanised,True,True,False,0
infliximab,G1,Kappa,Approved,NFD,TNF/TNFA,Chimeric,True,True,True,8
inlecitug,G1,Kappa,TBC,TBC,KDR/CD309/VEGFR2,Chimeric,False,False,False,0
intetumumab,G1,Kappa,Phase-II,Discontinued,ITGAVB3/CD61/VNR,Genetically human,False,False,False,0
iparomlimab,G4,Kappa,Preregistration,Active,PDCD1/CD279/PD1,Chimeric and humanised,False,False,False,0
ipilimumab,G1,Kappa,Approved,Active,CTLA4/CD152,Genetically human,True,True,False,0
iratumumab,G1,Kappa,Phase-II,Discontinued,TNFRSF8/CD30,Genetically human,False,False,False,0
isatuximab,G1,Kappa,Approved,Active,ADPRC1/CD38,Chimeric,True,True,False,0
iscalimab,G1,Kappa,Phase-II,Active,TNFRSF5/CD40,Genetically human,False,False,False,0
ispectamab,G1,Kappa,Phase-I,Active,TNFRSF17/CD269/BCMA/TNFRSF13A,Humanised,False,False,False,0
isuventatug,G1,Kappa,TBC,TBC,MICA&MICB,Chimeric and/or humanised,False,False,False,0
itepekimab,G4,Kappa,Phase-III,Active,IL33,Genetically human,False,False,False,0
itolizumab,G1,Kappa,Approved,Active,CD6,Humanised,False,False,False,0
ivuxolimab,G2,Kappa,Phase-II,Active,TNFRSF4/CD134/OX40,Genetically human,False,False,False,0
ixekizumab,G4,Kappa,Approved,Active,IL17A,Humanised,True,True,False,0
izastobart,G1,Lambda,Phase-I,Active,C5AR1/CD88,Genetically human,False,False,False,0
izeltabart,G1,Kappa,Phase-I/II,Discontinued,ADAM9,Humanised,False,False,False,0
lacnotuzumab,G1,Kappa,Phase-II,Discontinued,CSF1,Humanised,False,False,False,0
lacutamab,G1,Kappa,Phase-II,Active,KIR3DL2/CD158K,Chimeric and/or humanised,False,False,False,0
lanadelumab,G1,Kappa,Approved,NFD,KLKB1,Genetically human,True,True,False,0
lancastotug,G1,Kappa,Phase-I,Active,TIGIT/WUCAM/VSTM3,Humanised,False,False,False,0
landogrozumab,G4,Kappa,Phase-II,Discontinued,MSTN/GDF8/GDF-8,Humanised,False,False,False,0
lanerkitug,G1,Lambda,Phase-I,Active,CCR8/CKR-L1/CDw198,Genetically human,False,False,False,0
larcaviximab,G1,Kappa,Phase-II,Active,Zaire Ebolavirus Glycoprotein,Chimeric,False,False,False,0
lasrekibart,G1,Kappa,TBC,TBC,IL5,Humanised,False,False,False,0
latozinemab,G1,Kappa,Phase-III,Active,SORT1/Gp95/NT3,Genetically human,False,False,False,0
lebrikizumab,G4,Kappa,Approved,Active,IL13,Humanised,True,True,False,0
lecanemab,G1,Kappa,Approved,Active,APP,Chimeric and/or humanised,True,True,True,0
lecankitug,G1,Kappa,TBC,TBC,IL17A&IL17F,Humanised,False,False,False,0
lemalesomab,G1,Kappa,Phase-I,Discontinued,NCA90/p95,Murine,False,False,False,0
lemzoparlimab,G4,Kappa,Phase-III,Active,IAP/CD47,Genetically human,False,False,False,0
lenvervimab,G1,Kappa,Phase-III,Active,Hepatitis B Virus,Humanised,False,False,False,0
lerdelimumab,G4,Lambda,Phase-III,Discontinued,TGFB1,Genetically human,False,False,False,0
leronlimab,G4,Kappa,Approved,Active,CCR5/CD195,Humanised,False,False,False,0
lesabelimab,G1,Kappa,Phase-II,Active,PDL1/CD274,Genetically human,False,False,False,0
lesofavumab,G1,Kappa,Phase-I,Discontinued,Influenza B Virus,Genetically human,False,False,False,0
letaplimab,G4,Kappa,Phase-I/II,Active,IAP/CD47,Genetically human,False,False,False,0
levilimab,G1,Kappa,Approved,Active,IL6R/CD126,Chimeric and/or humanised,False,False,False,0
lexatumumab,G1,Lambda,Phase-I,Discontinued,TNFRSF10B/CD262/DR5/TRAILR2,Genetically human,False,False,False,0
libevitug,G1,Lambda,Phase-II,Active,Hepatitis B Virus Surface Antigen,Genetically human,False,False,False,0
libivirumab,G1,Kappa,Phase-II,Discontinued,Hepatitis B Virus Surface Antigen,Genetically human,False,False,False,0
ligelizumab,G1,Kappa,Phase-III,Active,IGHE,Humanised,False,False,False,0
ligufalimab,G4,Kappa,Phase-III,Active,IAP/CD47,Chimeric and/or humanised,False,False,False,0
linavonkibart,G4,Kappa,Phase-I,Active,TGFB1,Genetically human,False,False,False,0
lipustobart,G4,Kappa,Phase-I,Discontinued,PDCD1/CD279/PD1,Humanised,False,False,False,0
lirentelimab,G1,Kappa,Phase-III,Discontinued,SIGLEC8/SAF2,Humanised,False,False,False,0
lirilumab,G4,Kappa,Phase-II,Discontinued,KIRD2,Genetically human,False,False,False,0
litifilimab,G1,Kappa,Phase-III,Active,CLEC4C,Humanised,False,False,False,0
livmoniplimab,G4,Kappa,Phase-II/III,Active,LRRC32,Humanised,False,False,False,0
lixudebart,G1,Kappa,Phase-II,Active,CLDN1,Humanised,False,False,False,0
lodapolimab,G1,Lambda,Phase-I,Discontinued,PDL1/CD274,Genetically human,False,False,False,0
lodelcizumab,G1,Kappa,Phase-II,Discontinued,PCSK9,Humanised,False,False,False,0
lomtegovimab,G1,Kappa,Phase-II/III,Active,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
lonigutamab,G1,Kappa,Phase-I/II,Active,IGF1R/CD221,Humanised,False,False,False,0
lotivibart,G1,Kappa,TBC,Active,HIV-1 gp120,Genetically human,False,False,False,0
lucatumumab,G1,Kappa,Phase-I,Discontinued,TNFRSF5/CD40,Genetically human,False,False,False,0
lucorafusp,G4,Kappa,Phase-I,Active,TIGIT/WUCAM/VSTM3,Humanised,False,False,False,0
lumiliximab,G1,Kappa,Phase-II,Discontinued,FCER2/CD23,Chimeric,False,False,False,0
lumistobart,G1,Kappa,Phase-I,Active,SIRPA,Humanised,False,False,False,0
lumrotatug,G1,Kappa,Phase-II,Active,ADPRC1/CD38,Humanised,False,False,False,0
lumretuzumab,G1,Kappa,Phase-I/II,Discontinued,ERBB3/HER3,Humanised,False,False,False,0
lunlekitug,G1,Kappa,TBC,Active,IL1A,Genetically human,False,False,False,0
lusvertikimab,G4,Kappa,Phase-III,Active,IL7R/CD127,Humanised,False,False,False,0
luvagrobart,G1,Kappa,Phase-I,Active,NGF,Humanised,False,False,False,0
maftivimab,G1,Kappa,Preregistration,Discontinued,Zaire Ebolavirus Glycoprotein,Genetically human,True,False,False,0
magrolimab,G4,Kappa,Phase-III,Active,IAP/CD47,Chimeric and/or humanised,False,False,False,0
manelimab,G1,Lambda,Phase-I,Discontinued,PDL1/CD274,Genetically human,False,False,False,0
manfidokimab,G4,Kappa,Phase-III,Active,IL4R/CD124,Humanised,False,False,False,0
margetuximab,G1,Kappa,Approved,Active,ERBB2/CD340/HER2,Chimeric,True,False,False,0
maridebart,G1,Kappa,Phase-II,Active,GIPR,Genetically human,False,False,False,0
marstacimab,G1,Lambda,Approved,Active,ERBB2/CD340/HER2,Genetically human,True,True,False,0
masavibart,G1,Lambda,Approved,Active,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
matuzumab,G1,Kappa,Phase-II,Discontinued,EGFR/ERBB1/HER1,Humanised,False,False,False,0
mavrilimumab,G4,Lambda,Phase-II,Active,CSF2RA/CD116,Genetically human,False,False,False,0
mavrostobart,G4,Kappa,Phase-I,Active,NT5E/CALJA/CD73,Chimeric and/or humanised,False,False,False,0
mazorelvimab,G1,Kappa,Phase-III,Active,Rabies Virus Spike Glycoprotein G,Chimeric and/or humanised,False,False,False,0
mecbotamab,G1,Kappa,Phase-II,Active,AXL/UFO,Humanised,False,False,False,0
melrilimab,G2,Kappa,Phase-II,Discontinued,IL1RL1/ST2,Genetically human,False,False,False,0
metelimumab,G4,Kappa,Phase-II,Discontinued,TGFB1,Genetically human,False,False,False,0
mepolizumab,G1,Kappa,Approved,Active,IL5,Humanised,True,True,False,0
mevonlerbart,G4,Kappa,Phase-III,Active,Fel d 1,Genetically human,False,False,False,0
mezagitamab,G1,Lambda,Phase-II,Active,ADPRC1/CD38,Humanised,False,False,False,0
mibavademab,G4,Kappa,Phase-III,Active,LEPR/CD295/OBR,Genetically human,False,False,False,0
micvotabart,G1,Kappa,Phase-I/II,Active,FN extracellular domain B,Genetically human,False,False,False,0
milatuzumab,G1,Kappa,Phase-I/II,Discontinued,CD74/HLA class II histocompatibility antigen gamma chain,Humanised,False,False,False,0
mipasetamab,G1,Kappa,Phase-I,Discontinued,AXL/UFO,Humanised,False,False,False,0
miptenalimab,G4,Kappa,Phase-II,Active,LAG3/CD223,Chimeric and/or humanised,False,False,False,0
mirikizumab,G4,Kappa,Approved,Active,IL23A,Humanised,True,True,True,0
mirzotamab,G1,Kappa,Phase-I,Discontinued,B7H3/CD276,Chimeric,False,False,False,0
misitatug,G1,Kappa,Phase-II,Active,MSLN,Humanised,False,False,False,0
mitazalimab,G1,Lambda,Phase-II,Active,TNFRSF5/CD40,Humanised,False,False,False,0
modotuximab,G1,Kappa,Phase-III,Active,EGFR/ERBB1/HER1,Chimeric,False,False,False,0
mogamulizumab,G1,Kappa,Approved,Active,CCR4/CD194,Humanised,True,True,False,0
monalizumab,G4,Kappa,Phase-III,Active,KLRC1,Humanised,False,False,False,0
motavizumab,G1,Kappa,Phase-III,Discontinued,Respiratory Syncytial Virus Glycoprotein F,Humanised,False,False,False,0
mozistobart,G1,Kappa,Phase-I/II,Active,SIGLEC2/CD22,Humanised,False,False,False,0
murlentamab,G1,Kappa,Phase-II,Active,AMHR2,Humanised,False,False,False,0
mupadolimab,G1,Kappa,Phase-II,Active,NT5E/CALJA/CD73,Humanised,False,False,False,0
muromonab,G2a,Kappa,Approved (withdrawn),Discontinued,CD3E,Murine,False,False,False,0
muzastotug,G1,Kappa,Phase-I/II,Active,CTLA4/CD152,Humanised,False,False,False,0
nadecnemab,G4,Kappa,Phase-II,Active,GFRA3,Genetically human,False,False,False,0
nadunolimab,G1,Kappa,Phase-III,Active,IL1RAP,Humanised,False,False,False,0
namilumab,G1,Kappa,Phase-II,Active,CSF2,Genetically human,False,False,False,0
narlumosbart,G4,Kappa,Phase-III,Approved,TNFSF11/CD254/RANKL/TRANCE/OPGL/ODF,Genetically human,False,False,False,0
narnatumab,G1,Kappa,Phase-I,Discontinued,MST1R/CD136,Genetically human,False,False,False,0
narsoplimab,G4,Lambda,Preregistration,Active,MASP2,Genetically human,True,False,False,0
natalizumab,G4,Kappa,Approved,Active,ITGA4/CD49D,Humanised,True,True,True,1
navenibart,G1,Kappa,Phase-II,Active,KLKB1,Humanised,False,False,False,0
navivumab,G1,Kappa,Preclinical,Discontinued,Influenza A HA,Genetically human,False,False,False,0
naxitamab,G1,Kappa,Approved,Active,Ganglioside GD2,Chimeric and/or humanised,True,False,False,0
nebokitug,G1,Kappa,Phase-II,Active,CCL24/SCYA24/Ckb-6/MPIF-2/eotaxin-2,Chimeric and/or humanised,False,False,False,0
necitumumab,G1,Kappa,Approved,Active,EGFR/ERBB1/HER1,Genetically human,True,True,False,0
negalstobart,G4,Kappa,Phase-II,Active,LAG3/CD223,Genetically human,False,False,False,0
nelmastobart,G4,Kappa,Phase-I/II,Active,BTN1A1,Humanised,False,False,False,0
nelistotug,G1,Kappa,Phase-II,Active,TACTILE/CD96,Genetically human,False,False,False,0
nemolizumab,G2,Kappa,Approved,Active,IL31RA,Humanised,True,True,False,0
nepuvibart,G1,Kappa,Approved,NFD,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
nesvacumab,G1,Kappa,Phase-I,Discontinued,ANGPT2,Genetically human,False,False,False,0
netakimab,G1,Kappa,Approved,Active,IL17A,Chimeric,False,False,False,0
nezutatug,G1,Kappa,Phase-I/II,Active,ERBB3/HER3,Humanised,False,False,False,0
nimacimab,G4,Kappa,Phase-II,Active,CNR1/CB1,Humanised,False,False,False,0
nimotuzumab,G1,Kappa,Approved,Active,EGFR/ERBB1/HER1,Humanised,False,False,False,0
nipocalimab,G1,Lambda,Preregistration,Active,FCGRT/FcRn,Genetically human,True,True,False,0
nirsevimab,G1,Kappa,Approved,Active,Respiratory Syncytial Virus,Genetically human,True,True,False,0
nisevokitug,G2,Lambda,Phase-III,Active,TGFB1/TGFB2,Genetically human,False,False,False,0
nivisnebart,G1,Kappa,TBC,Active,SORT1/Gp95/NT3,Genetically human,False,False,False,0
nivolumab,G4,Kappa,Approved,Active,PDCD1/CD279/PD1,Genetically human,True,True,False,3
nofazinlimab,G4,Kappa,Phase-III,Active,PDCD1/CD279/PD1,Humanised,False,False,False,0
nurulimab,G1,Kappa,Phase-I,Discontinued,CTLA4/CD152,Genetically human,False,False,False,0
nuvustotug,G1,Kappa,Phase-I,Active,TNFRSF4/CD134/OX40,Genetically human,False,False,False,0
oberotatug,G1,Kappa,Phase-I,Active,LY75/CD205/DEC205,Genetically human,False,False,False,0
obexelimab,G1,Kappa,Phase-III,Active,CD19,Chimeric and/or humanised,False,False,False,0
obiltoxaximab,G1,Kappa,Approved,NFD,Anthrax Protective Antigen,Chimeric,True,True,False,1
obinutuzumab,G1,Kappa,Approved,Active,MS4A1/CD20,Humanised,True,True,False,1
ocankitug,G1,Kappa,Phase-II,Active,TSLP,Humanised,False,False,False,0
ocaratuzumab,G1,Kappa,Phase-II,Discontinued,MS4A1/CD20,Humanised,False,False,False,0
ociperlimab,G1,Kappa,Phase-III,Active,TIGIT/WUCAM/VSTM3,Humanised,False,False,False,0
ocrelizumab,G1,Kappa,Approved,NFD,MS4A1/CD20,Humanised,True,True,False,1
odesivimab,G1,Kappa,Approved,Active,Zaire Ebolavirus Glycoprotein,Genetically human,True,False,False,0
ofatumumab,G1,Kappa,Approved,Active,MS4A1/CD20,Genetically human,True,True,False,1
ogalvibart,G1,Kappa,Phase-II/III,Active,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
olaratumab,G1,Kappa,Approved,Active,PDGFRA/CD140A,Genetically human,False,True,False,0
oleclumab,G1,Lambda,Phase-III,Active,NT5E/CALJA/CD73,Genetically human,False,False,False,0
olendalizumab,G2,Kappa,Phase-II,Discontinued,C5,Humanised,False,False,False,0
olintatug,G1,Kappa,TBC,Active,KAAG1/RU2AS,Chimeric and humanised,False,False,False,0
olinvacimab,G1,Lambda,Phase-II,Active,KDR/CD309/VEGFR2,Genetically human,False,False,False,0
oloctinebart,G4,Kappa,TBC,Active,LGALS3/GAL3,Humanised,False,False,False,0
olokizumab,G4,Kappa,Approved,Active,IL6,Humanised,False,False,False,0
omalizumab,G1,Kappa,Approved,Active,IGHE,Humanised,True,True,False,1
omectatug,G1,Kappa,Phase-III,Active,CLDN18,Humanised,False,False,False,0
omoprubart,G2/G4,Kappa,Phase-I/II,Active,C5,Genetically human,False,False,False,0
omodenbamab,G3,Kappa,Phase-I/II,Active,Staphylococcus aureus Protein A,Genetically human,False,False,False,0
ongericimab,G4,Kappa,Approved,Active,PCSK9,Humanised,False,False,False,0
ontamalimab,G2,Kappa,Phase-III,Discontinued,MADCAM1,Genetically human,False,False,False,0
ontuxizumab,G1,Kappa,Phase-II,Active,CD248/CD164L1,Chimeric and humanised,False,False,False,0
onvatilimab,G1,Kappa,Phase-I,Discontinued,VSIR/VISTA/B7H5/PD1H/SISP1,Genetically human,False,False,False,0
opicinumab,G1,Kappa,Phase-II,Discontinued,LINGO1,Genetically human,False,False,False,0
opucolimab,G1,Lambda,Phase-I,Discontinued,PDL1/CD274,Genetically human,False,False,False,0
ordesekimab,G1,Kappa,Phase-II,Active,IL15,Genetically human,False,False,False,0
orilanolimab,G4,Kappa,Phase-II,Discontinued,FCGRT/FcRn,Chimeric and/or humanised,False,False,False,0
ormutivimab,G1,Lambda,Approved,NFD,Rabies Virus Surface Glycoprotein 4 (gp4) Epitope 1,Genetically human,False,False,False,0
orticumab,G1,Lambda,Phase-II,Active,OxLDL,Genetically human,False,False,False,0
osemitamab,G1,Kappa,Phase-II,Active,CLDN18,Humanised,False,False,False,0
osocimab,G1,Kappa,Phase-II,Discontinued,F11,Genetically human,False,False,False,0
otelixizumab,G1,Lambda,Phase-II,Active,CD3E,Chimeric and humanised,False,False,False,0
otilimab,G1,Lambda,Phase-III,Discontinued,CSF2,Genetically human,False,False,False,0
oturkibart,G4,Kappa,TBC,TBC,IL4R/CD124,Humanised,False,False,False,0
oxelumab,G1,Kappa,Phase-II,Discontinued,TNFSF4/CD134/CD252/OX40L,Genetically human,False,False,False,0
ozanezumab,G1,Kappa,Phase-II,Discontinued,RTN4/Nogo,Humanised,False,False,False,0
ozureprubart,G1,Kappa,Phase-II,Active,IGHE,Humanised,False,False,False,0
ozuriftamab,G1,Kappa,Phase-II,Active,ROR2,Chimeric and/or humanised,False,False,False,0
pacibekitug,G2,Kappa,Phase-II,Active,IL6,Genetically human,False,False,False,0
pacmilimab,G4,Kappa,Phase-II,Active,PDL1/CD274,Genetically human,False,False,False,0
palivizumab,G1,Kappa,Approved,NFD,Respiratory Syncytial Virus Glycoprotein F,Humanised,True,True,False,0
pamlectabart,G1,Kappa,Phase-I/II,Active,TNFRSF17/CD269/BCMA/TNFRSF13A;CD3E,Humanised,False,False,False,0
pamrevlumab,G1,Kappa,Phase-III,Active,CTGF/CCN2,Genetically human,False,False,False,0
panitumumab,G2,Kappa,Approved,Active,EGFR/ERBB1/HER1,Genetically human,True,True,False,0
panobacumab,M,Kappa,Phase-II,Active,Serotype IATS O11,Genetically human,False,False,False,0
paridiprubart,G1,Kappa,Phase-III,Active,TLR4/CD284,Humanised,False,False,False,0
parsatuzumab,G1,Kappa,Phase-II,Discontinued,EGFL7,Humanised,False,False,False,0
patecibart,G4,Kappa,Phase-I,Discontinued,EDNRA,Humanised,False,False,False,0
pateclizumab,G1,Kappa,Phase-II,Discontinued,LTA,Humanised,False,False,False,0
patritumab,G1,Kappa,Phase-III,Discontinued,ERBB3/HER3,Genetically human,False,False,False,0
pembrolizumab,G4,Kappa,Approved,Active,PDCD1/CD279/PD1,Humanised,True,True,False,1
pemivibart,G1,Lambda,Approved,Active,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
penpulimab,G1,Kappa,Approved,Active,PDCD1/CD279/PD1,Chimeric and/or humanised,True,False,False,1
pepinemab,G4,Kappa,Phase-II,Active,SEMA4D/CD100,Chimeric and/or humanised,False,False,False,0
perakizumab,G1,Kappa,Phase-I,Discontinued,IL17A,Humanised,False,False,False,0
perenostobart,G4,Kappa,Phase-II,Discontinued,ENTPD1/CD39,Genetically human,False,False,False,0
peresolimab,G1,Kappa,Phase-II,Active,PDCD1/CD279/PD1,Humanised,False,False,False,0
pertuzumab,G1,Kappa,Approved,Active,ERBB2/CD340/HER2,Humanised,True,True,True,1
picankibart,G1,Kappa,Preregistration,Active,IL23A,Humanised,False,False,False,0
pidilizumab,G1,Kappa,Phase-II,Active,PDCD1/CD279/PD1,Humanised,False,False,False,0
pimivalimab,G4,Kappa,Phase-II,Active,PDCD1/CD279/PD1,Genetically human,False,False,False,0
pimurutamab,G1,Kappa,Phase-II,Active,EGFR/ERBB1/HER1,Humanised,False,False,False,0
pivekimab,G1,Kappa,Phase-I/II,Active,IL3RA/CD123,Chimeric and/or humanised,False,False,False,0
plonmarlimab,G1,Kappa,Phase-II/III,Active,CSF2,Humanised,False,False,False,0
plozalizumab,G1,Kappa,Phase-II,Active,CCR2/CD192,Humanised by CDR Grafting,False,False,False,0
polzastobart,G4,Kappa,Phase-I/II,Active,LILRB2,Humanised,False,False,False,0
ponezumab,G2,Kappa,Phase-II,Discontinued,APP,Humanised,False,False,False,0
ponsegromab,G1,Kappa,Phase-I,Discontinued,GDF15/MIC1/MIC-1/NAG1/NAG-1/PTGFB,Genetically human,False,False,False,0
posdinemab,G1,Kappa,Phase-II,Active,MAPT,Humanised,False,False,False,0
potravitug,G1,Kappa,Phase-II/III,Active,BK polyomavirus VP1,Genetically human,False,False,False,0
pozelimab,G4,Kappa,Approved,Active,C5,Genetically human,True,False,True,0
plutavimab,G1,Kappa,Phase-II,Active,SARS-CoV-2 Spike RBD,Genetically human,False,False,False,0
porgaviximab,G1,Kappa,Phase-II,Discontinued,Zaire Ebolavirus Glycoprotein,Chimeric,False,False,False,0
pradusinstobart,G4,Kappa,Phase-I,Discontinued,PDCD1/CD279/PD1,Humanised,False,False,False,0
prafnosbart,G1,Kappa,Phase-I,Discontinued,ACVR1,Humanised,False,False,False,0
praluzatamab,G1,Kappa,Phase-II,Active,ALCAM/CD166,Humanised,False,False,False,0
prasinezumab,G1,Kappa,Phase-II,Active,SNCA/PARK1/PARK4,Humanised,False,False,False,0
precemtabart,G1,Kappa,Phase-I,Active,CEACAM5/CD66e,Genetically human,False,False,False,0
prezalumab,G2,Kappa,Phase-II,Discontinued,ICOSLG,Genetically human,False,False,False,0
pritoxaximab,G1,Kappa,Phase-II,Discontinued,Shiga Toxin Type 1,Chimeric,False,False,False,0
pritumumab,G1,Kappa,Phase-II,Active,VIM,Genetically human,False,False,False,0
prolgolimab,G1,Lambda,Approved,Active,PDCD1/CD279/PD1,Chimeric and/or humanised,False,False,False,0
pucotenlimab,G4,Kappa,Approved,Active,PDCD1/CD279/PD1,Chimeric and/or humanised,False,False,False,0
pulocimab,G1,Kappa,Phase-III,Active,KDR/CD309/VEGFR2,Genetically human,False,False,False,0
